df,dl,dr,v,w
2.4822812,2.6294703,2.6699724,0.49854934,0.00029217268
1.4071373,1.6019646,1.782861,0.06813447,0.24323507
2.8881989,0.4658,2.5615635,0.4931337,0.7117364
3.1269631,3.3447447,2.9238544,0.5,-0.51219976
1.9705224,2.0907543,1.2823949,0.29148614,-0.7371873
3.4667084,3.1668777,3.9359932,0.48340064,0.6696882
0.9316584,1.2521394,0.2033061,0.038734417,-0.70363617
2.3747418,2.4086828,3.2182536,0.43332627,0.7612824
2.629521,2.9706564,3.071209,0.49743396,0.10756737
3.5782897,4.0503993,3.7218242,0.5,-0.41141045
2.070652,0.6093029,1.9239783,0.32255155,0.7147698
0.84062225,1.0566094,1.1713665,0.007013473,0.1843445
0.96208,1.2641265,1.1191044,0.029481467,-0.26185033
2.9019244,3.680271,3.392718,0.4962627,-0.3256835
0.8937127,1.4783067,1.7041795,0.022331536,0.42564204
0.8009368,0.8984702,0.6730715,0.018643543,-0.37503526
2.289225,2.234187,2.250957,0.41375506,0.0011015421
0.95792073,1.2312365,1.8363727,0.020949075,0.7299653
2.5172818,2.1795137,3.4685652,0.48541364,0.7089022
0.8692582,0.55535793,0.6287988,0.015452001,0.07399798
3.3865466,3.3448775,3.2193265,0.5,-0.14839558
2.242207,1.2193516,1.949488,0.39892176,0.638489
2.7216578,2.501136,3.0969458,0.5,0.6983901
0.6146696,0.6912639,0.20762408,0.013530705,-0.65361726
4.1240644,5.6966796,4.3016467,0.5,-0.6952114
4.0273433,3.8936474,0.7465048,0.48537573,-0.6882655
2.521296,3.1221356,2.3683808,0.49433902,-0.72534513
0.5997927,0.65136397,0.8395871,0.0,0.3772634
2.6446497,3.0476744,2.7782896,0.5,-0.34410384
0.88880414,0.5061608,0.8620073,0.011234806,0.58629656
2.6053412,2.128868,3.6623433,0.49694517,0.71197134
2.5894625,3.4456072,0.26426876,0.49955267,-0.68312347
1.6490031,1.2871194,1.9113235,0.1477352,0.7209364
2.756956,3.6826668,2.6928475,0.49748218,-0.6686681
2.5638251,2.5901096,3.2683177,0.49335513,0.6979935
0.81887794,0.5921678,0.47675556,0.019089226,-0.17627278
2.5853784,2.4377916,2.8348372,0.5,0.4785812
1.100621,2.1221154,0.82814616,0.046349786,-0.6899348
3.176125,2.9366837,2.4306273,0.5,-0.5874512
1.0760959,1.0921347,0.9888023,0.045238774,-0.17139848
0.6190628,1.3314728,0.52097225,0.013933825,-0.72512096
0.9742898,1.4278278,1.4496387,0.02355431,-0.024677163
2.5195475,3.7576206,2.2679677,0.5,-0.6793218
0.79048276,1.6244096,0.2608517,0.0140482,-0.7012032
1.4277383,1.2930849,0.64735043,0.06687904,-0.74091464
3.8752608,4.741615,4.181704,0.5,-0.65383476
2.810225,2.0107017,3.2246118,0.5,0.70863646
3.8932219,4.428937,4.2130966,0.4997728,-0.19025546
2.1354542,1.9377034,2.0656333,0.3570591,0.14889239
1.982963,2.3973575,2.3298562,0.2900745,-0.119237155
1.1759057,2.3648546,0.42379698,0.037594352,-0.6576835
2.8312807,2.1811686,1.9571085,0.5,-0.27382958
2.8296616,3.4752579,2.269566,0.49412167,-0.7024813
2.7024684,3.3095298,2.8218393,0.49272725,-0.5767272
2.2720094,2.7675488,2.8086264,0.38765976,0.04357848
1.7456312,1.4433504,1.3852016,0.17775746,-0.023963837
0.8488378,1.0907501,0.5849076,0.00974298,-0.69833297
1.8513173,1.5835606,2.3269823,0.23110615,0.7004877
1.7229469,2.181255,1.7530917,0.17586786,-0.5331271
2.3250291,1.9599901,2.6828067,0.4215298,0.68416315
2.831201,2.8634179,3.091253,0.5,0.26703033
1.1580727,1.6912568,0.7920167,0.03442553,-0.66009027
3.2163417,3.0542753,4.2526603,0.49763843,0.7026741
3.479128,0.90115434,3.2062445,0.495406,0.6749466
2.9998384,2.7388477,4.1738176,0.49920437,0.6703206
2.809131,3.177724,3.291022,0.49707988,0.07299107
0.6832041,0.76067156,1.0039103,0.0,0.5166088
1.8563393,1.5789849,0.3609329,0.22411826,-0.7318889
0.8857236,0.7446475,1.2701705,0.00736015,0.7013356
2.416073,2.676346,2.5752337,0.48160687,-0.12918241
3.1314538,2.7920444,3.2165406,0.49604553,0.49183998
1.9908313,2.2182803,1.6171538,0.2771463,-0.69894946
0.4440841,0.71035564,1.1170481,0.019033412,0.71557134
2.9212074,3.2177284,3.599129,0.5,0.45470688
3.1056385,3.0462253,2.4528353,0.49562135,-0.74656636
3.1088607,3.5666795,3.0141165,0.492479,-0.6252988
3.4818099,4.249476,3.6219738,0.5,-0.6707716
1.2963667,1.9256289,0.6997582,0.058957554,-0.73784
2.9096189,0.5452743,3.170216,0.48798615,0.6947341
2.1714437,1.6009194,2.3670337,0.37300673,0.6923249
2.0370727,3.039649,2.4518778,0.29948652,-0.72669786
3.680541,3.9287193,4.7699275,0.49939618,0.67466456
2.0790358,2.4166098,2.1723092,0.33147314,-0.28566676
2.9434092,2.847592,3.7115088,0.5,0.7203203
2.927241,2.9820755,4.010088,0.49826786,0.7247712
3.2650218,4.055416,4.253924,0.5,0.23747174
1.6064781,2.2207503,2.1172798,0.114747904,-0.12569226
3.1582963,3.180773,3.7004328,0.5,0.6181635
